国家,币种,之前价格,更新价格,税率,税,税后价,实时汇率
Algeria,DZD,13000.0,14000.0,-,0.0,14000.0,14030.47
Australia,AUD,159.99,149.99,10%,13.64,136.35,137.97
Austria,EUR,,104.99,20%,17.5,87.49,88.6
Bahrain,USD,,109.99,5%,5.24,104.75,100.0
Bangladesh,BDT,8500.0,8600.0,-,0.0,8600.0,8651.36
Belgium,EUR,,109.99,21%,19.09,90.9,88.6
Bermuda,USD,,99.99,-,0.0,99.99,100.0
Bolivia,BOB,699.99,689.99,-,0.0,689.99,692.39
Brazil,BRL,529.99,559.99,-,0.0,559.99,561.62
British Virgin Islands,USD,,99.99,-,0.0,99.99,100.0
Bulgaria,BGN,,209.99,20%,35.0,174.99,173.33
Cambodia,USD,,99.99,-,0.0,99.99,100.0
Canada,CAD,134.99,124.99,-,0.0,124.99,126.50999999999999
Cayman Islands,USD,,99.99,-,0.0,99.99,100.0
Chile,CLP,80000.0,97000.0,19%,15487.0,81513.0,83003.66
Colombia,COP,377000.0,392000.0,-,0.0,392000.0,394749.15
Costa Rica,CRC,58000.0,64000.0,-,0.0,64000.0,64196.799999999996
Croatia,HRK,,839.0,25%,167.8,671.2,667.57
Cyprus,EUR,,109.99,19%,17.56,92.43,88.6
Czechia,CZK,2899.99,2699.99,21%,468.59,2231.4,2261.08
Denmark,DKK,,829.0,25%,165.8,663.2,661.0
Ecuador,USD,,99.99,-,0.0,99.99,100.0
Egypt,EGP,1649.99,1599.99,-,0.0,1599.99,1577.43
El Salvador,USD,,99.99,-,0.0,99.99,100.0
France,EUR,,104.99,20%,17.5,87.49,88.6
Georgia,GEL,299.0,324.0,-,0.0,324.0,315.3
Germany,EUR,,104.99,19%,16.76,88.23,88.6
Ghana,GHS,580.0,610.0,-,0.0,610.0,618.5500000000001
Gibraltar,GBP,72.99,74.99,-,0.0,74.99,74.42
Greece,EUR,,109.99,24%,21.29,88.7,88.6
Hong Kong,HKD,,779.0,-,0.0,779.0,779.24
Hungary,HUF,38999.0,41999.0,27%,8928.92,33070.08,32862.509999999995
India,INR,9000.0,8800.0,18%,1342.37,7457.63,7463.299999999999
Indonesia,IDR,1416823.0,1428283.0,-,0.0,1428283.0,1421991.5999999999
Iraq,IQD,120000.0,146000.0,-,0.0,146000.0,147990.22
Ireland,EUR,,109.99,23%,20.57,89.42,88.6
Israel,ILS,349.9,299.9,-,0.0,299.9,310.40999999999997
Italy,EUR,,109.99,22%,19.83,90.16,88.6
