,input,id,来源,name,label,开发,发行,href,厂商,评分,下载,关注,android,ios,GameRes评分
0,2021/11/18,225621,TAPTAP,逆光潜入,"二次元,叠纸,角色扮演",空塔工作室,nan,https://www.taptap.com/app/225621,nan,9.7,0,4945,预约,预约,
1,2021/11/18,219019,TAPTAP,宿命回响,"美少女,二次元,角色扮演",nan,nan,https://www.taptap.com/app/219019,代号R工作室,9.2,0,188794,预约,预约,
2,2021/11/18,202748,TAPTAP,幽灵事务所,"剧情,视觉小说,冒险",nan,nan,https://www.taptap.com/app/202748,深圳酷猫,9.8,0,100199,预约,预约,
3,2021/11/18,226637,TAPTAP,代号：山海,"角色扮演,Roguelike,动作",极乐岛,nan,https://www.taptap.com/app/226637,nan,9.1,0,2624,预约,敬请期待,
4,2021/11/19,192472,TAPTAP,方块英雄,"音乐,点击,节奏,策略",叮咚游戏,nan,https://www.taptap.com/app/192472,nan,9.8,0,2764,预约,敬请期待,
5,2021/11/18,226739,TAPTAP,火柴人战争遗产3,策略,nan,天津羽仁科技有限公司,https://www.taptap.com/app/226739,nan,0.0,0,21,预约,预约,
6,2021/11/18,226726,TAPTAP,挂机英雄的试炼,角色扮演,nan,nan,https://www.taptap.com/app/226726,炫炫网络,0.0,0,57,预约,敬请期待,
7,2021/11/18,226666,TAPTAP,勇者不想去冒险,策略,nan,nan,https://www.taptap.com/app/226666,圆猫游戏,0.0,0,43,预约,敬请期待,
8,2021/11/18,226663,TAPTAP,去三国找大哥,动作,小四月工作室,nan,https://www.taptap.com/app/226663,nan,0.0,0,17,预约,敬请期待,
9,2021/11/18,226645,TAPTAP,狗头冒险,动作,nan,nan,https://www.taptap.com/app/226645,天羁工作室,0.0,0,35,预约,敬请期待,
10,2021/11/18,226635,TAPTAP,幻梦西游格斗篇,动作,nan,北京尚乐科技有限公司,https://www.taptap.com/app/226635,nan,0.0,0,2,预约,敬请期待,
11,2021/11/18,226614,TAPTAP,英灵幻想,角色扮演,nan,梦宇游戏,https://www.taptap.com/app/226614,nan,0.0,0,14,预约,敬请期待,
12,2021/11/18,226573,TAPTAP,细菌边缘,冒险,孤獴网络,nan,https://www.taptap.com/app/226573,nan,0.0,0,33,预约,敬请期待,
13,2021/11/18,226536,TAPTAP,灵兽养成物语,休闲,nan,广州市友趣科技有限公司,https://www.taptap.com/app/226536,nan,9.8,0,538,预约,预约,
14,2021/11/18,226531,TAPTAP,继承了一座戏园子,"种田,古风,经营,国风,模拟经营,模拟",探游科技,nan,https://www.taptap.com/app/226531,nan,9.8,0,28142,预约,预约,
15,2021/11/18,226522,TAPTAP,冲出要塞,休闲,鲲鹏展翅,nan,https://www.taptap.com/app/226522,nan,0.0,0,10,预约,获取,
16,2021/11/18,226519,TAPTAP,使命放置,角色扮演,nan,nan,https://www.taptap.com/app/226519,199YT,0.0,0,30,预约,敬请期待,
17,2021/11/18,226507,TAPTAP,异世界神州梦,休闲,魔坊工作室,魔坊工作室(More Fun),https://www.taptap.com/app/226507,nan,0.0,0,17,预约,敬请期待,
18,2021/11/18,226496,TAPTAP,无双战将,角色扮演,nan,广州千果互动传媒有限公司,https://www.taptap.com/app/226496,nan,0.0,0,7,预约,敬请期待,
19,2021/11/18,226488,TAPTAP,放克猫咪,音乐,魔镜工作室,天津羽仁科技有限公司,https://www.taptap.com/app/226488,nan,0.0,0,54,预约,预约,
20,2021/11/18,226486,TAPTAP,暗夜圣徒,卡牌,nan,深圳市游梦飞扬科技有限公司,https://www.taptap.com/app/226486,nan,0.0,0,42,预约,敬请期待,
21,2021/11/18,226476,TAPTAP,剑冢,策略,5th独立营: 游戏事业接班人,nan,https://www.taptap.com/app/226476,nan,9.2,0,187,预约,预约,
22,2021/11/18,226441,TAPTAP,刀斧大乱斗,动作,nan,nan,https://www.taptap.com/app/226441,Azur Games,0.0,0,19,预约,敬请期待,
23,2021/11/18,226427,TAPTAP,奇葩英雄大战,休闲,nan,nan,https://www.taptap.com/app/226427,玩来玩去工作室,0.0,0,16,预约,敬请期待,
24,2021/11/18,226424,TAPTAP,小心我扎你,休闲,大连星河无限科技有限公司,天津羽仁科技有限公司,https://www.taptap.com/app/226424,nan,0.0,0,24,预约,敬请期待,
25,2021/11/18,226423,TAPTAP,粘液宠物3D,休闲,nan,nan,https://www.taptap.com/app/226423,玩来玩去工作室,0.0,0,21,预约,敬请期待,
26,2021/11/18,226416,TAPTAP,时之幻想曲,"卡牌,二次元,策略,角色扮演",nan,nan,https://www.taptap.com/app/226416,深圳永利洲,0.0,0,71,预约,预约,
27,2021/11/18,226365,TAPTAP,荒岛生存模拟,休闲,nan,nan,https://www.taptap.com/app/226365,橙意游戏,0.0,0,26,预约,预约,
28,2021/11/18,226359,TAPTAP,引水浇花,休闲,nan,nan,https://www.taptap.com/app/226359,深圳趣多多互动娱乐有限公司,0.0,0,4,预约,敬请期待,
29,2021/11/18,226351,TAPTAP,我的小镇农场,角色扮演,北京天舒互娱科技有限公司,北京尚乐科技有限公司,https://www.taptap.com/app/226351,nan,0.0,0,6,预约,敬请期待,
30,2021/11/18,226350,TAPTAP,印法大师,休闲,nan,nan,https://www.taptap.com/app/226350,小天工作室,0.0,0,31,预约,敬请期待,
