,input,id,来源,name,label,开发,发行,href,厂商,评分,下载,关注,android,ios,GameRes评分
0,2021/11/18,225621,TAPTAP,逆光潜入,"二次元,叠纸,角色扮演",空塔工作室,nan,https://www.taptap.com/app/225621,nan,9.7,0,4945,预约,预约,
1,2021/11/18,176068,TAPTAP,用心组装,"剧情,益智,唯美",nan,nan,https://www.taptap.com/app/176068,ustwo games,9.2,0,2584,预约,获取,
2,2021/11/18,195425,TAPTAP,阿尔芭的探险,"剧情,冒险,益智",nan,nan,https://www.taptap.com/app/195425,ustwo games,9.2,0,2098,预约,预约,
3,2021/11/18,219019,TAPTAP,宿命回响,"美少女,二次元,角色扮演",nan,nan,https://www.taptap.com/app/219019,代号R工作室,9.2,0,188794,预约,预约,
4,2021/11/18,202748,TAPTAP,幽灵事务所,"剧情,视觉小说,冒险",nan,nan,https://www.taptap.com/app/202748,深圳酷猫,9.8,0,100199,预约,预约,
5,2021/11/18,226637,TAPTAP,代号：山海,"角色扮演,Roguelike,动作",极乐岛,nan,https://www.taptap.com/app/226637,nan,9.1,0,2624,预约,敬请期待,
6,2021/11/19,192472,TAPTAP,方块英雄,"音乐,点击,节奏,策略",叮咚游戏,nan,https://www.taptap.com/app/192472,nan,9.8,0,2764,预约,敬请期待,
7,2021/11/18,226658,TAPTAP,拯救破败祖业,"橙光,文字冒险,模拟",破败祖业,nan,https://www.taptap.com/app/226658,nan,0.0,0,140,预约,敬请期待,
8,2021/11/18,226739,TAPTAP,火柴人战争遗产3,策略,nan,天津羽仁科技有限公司,https://www.taptap.com/app/226739,nan,0.0,0,21,预约,预约,
9,2021/11/18,226726,TAPTAP,挂机英雄的试炼,角色扮演,nan,nan,https://www.taptap.com/app/226726,炫炫网络,0.0,0,57,预约,敬请期待,
10,2021/11/18,226666,TAPTAP,勇者不想去冒险,策略,nan,nan,https://www.taptap.com/app/226666,圆猫游戏,0.0,0,43,预约,敬请期待,
11,2021/11/18,226663,TAPTAP,去三国找大哥,动作,小四月工作室,nan,https://www.taptap.com/app/226663,nan,0.0,0,17,预约,敬请期待,
12,2021/11/18,226645,TAPTAP,狗头冒险,动作,nan,nan,https://www.taptap.com/app/226645,天羁工作室,0.0,0,35,预约,敬请期待,
13,2021/11/18,226635,TAPTAP,幻梦西游格斗篇,动作,nan,北京尚乐科技有限公司,https://www.taptap.com/app/226635,nan,0.0,0,2,预约,敬请期待,
14,2021/11/18,226624,TAPTAP,有间猫咪小院,模拟,灵动艺游,nan,https://www.taptap.com/app/226624,nan,0.0,0,33,预约,预约,
15,2021/11/18,226619,TAPTAP,地狱,益智,nan,nan,https://www.taptap.com/app/226619,QZQ Studio,0.0,0,115,预约,预约,
